Datetime,rf-a,rf-a-sum,wl-ch-a,wl-a,rf-c,rf-c-sum,wl-ch-c,wl-c
1/1/2024 15:00,0,0,-0.001,190.953,0,0,-0.002,2.495
1/1/2024 15:10,0,0,0.002,190.955,0,0,0.002,2.497
1/1/2024 15:20,0,0,-0.003,190.952,0,0,-0.001,2.496
1/1/2024 15:30,0,0,0.001,190.953,0,0,-0.001,2.495
1/1/2024 15:40,0,0,0.001,190.954,0,0,0.002,2.497
1/1/2024 15:50,0,0,-0.002,190.952,0,0,0,2.497
1/1/2024 16:00,0,0,0.001,190.953,0,0,0,2.497
1/1/2024 16:10,0,0,0.001,190.954,0,0,-0.002,2.495
1/1/2024 16:20,0,0,-0.002,190.952,0,0,0.002,2.497
1/1/2024 16:30,0,0,0.001,190.953,0,0,-0.002,2.495
1/1/2024 16:40,0,0,-0.003,190.95,0,0,0.001,2.496
1/1/2024 16:50,0,0,0.002,190.952,0,0,0.001,2.497
1/1/2024 17:00,0,0,0.001,190.953,0,0,0.001,2.498
1/1/2024 17:10,0,0,0,190.953,0,0,-0.004,2.494
1/1/2024 17:20,0,0,-0.002,190.951,0,0,0.001,2.495
1/1/2024 17:30,0,0,-0.001,190.95,0,0,-0.001,2.494
1/1/2024 17:40,0,0,0,190.95,0,0,0.001,2.495
1/1/2024 17:50,0,0,0.002,190.952,0,0,-0.001,2.494
1/1/2024 18:00,0,0,0,190.952,0,0,0,2.494
1/1/2024 18:10,0,0,-0.002,190.95,0,0,0,2.494
1/1/2024 18:20,0,0,-0.002,190.948,0,0,0,2.494
1/1/2024 18:30,0,0,0.002,190.95,0,0,0,2.494
1/1/2024 18:40,0,0,0.001,190.951,0,0,0.001,2.495
1/1/2024 18:50,0,0,-0.002,190.949,0,0,-0.001,2.494
1/1/2024 19:00,0,0,-0.001,190.948,0,0,0,2.494
1/1/2024 19:10,0,0,0.002,190.95,0,0,0,2.494
1/1/2024 19:20,0,0,0.002,190.952,0,0,-0.001,2.493
1/1/2024 19:30,0,0,-0.001,190.951,0,0,-0.002,2.491
1/1/2024 19:40,0,0,0,190.951,0,0,0.002,2.493
1/1/2024 19:50,0,0,-0.002,190.949,0,0,-0.002,2.491
1/1/2024 20:00,0,0,-0.001,190.948,0,0,-0.001,2.49
1/1/2024 20:10,0,0,0.003,190.951,0,0,0,2.49
1/1/2024 20:20,0,0,-0.002,190.949,0,0,0,2.49
1/1/2024 20:30,0,0,0.002,190.951,0,0,0,2.49
1/1/2024 20:40,0,0,-0.003,190.948,0,0,-0.002,2.488
1/1/2024 20:50,0,0,0,190.948,0,0,0,2.488
1/1/2024 21:00,0,0,0.001,190.949,0,0,0,2.488
1/1/2024 21:10,0,0,-0.001,190.948,0,0,0,2.488
1/1/2024 21:20,0,0,0.002,190.95,0,0,-0.003,2.485
1/1/2024 21:30,0,0,-0.002,190.948,0,0,0.003,2.488
1/1/2024 21:40,0,0,0,190.948,0,0,-0.004,2.484
1/1/2024 21:50,0,0,0,190.948,0,0,0.001,2.485
1/1/2024 22:00,0,0,0.001,190.949,0,0,0,2.485
1/1/2024 22:10,0,0,-0.001,190.948,0,0,0,2.485
1/1/2024 22:20,0,0,0,190.948,0,0,0,2.485
1/1/2024 22:30,0,0,-0.001,190.947,0,0,0,2.485
1/1/2024 22:40,0,0,0,190.947,0,0,0,2.485
1/1/2024 22:50,0,0,0.001,190.948,0,0,0,2.485
1/1/2024 23:00,0,0,0,190.948,0,0,-0.001,2.484
1/1/2024 23:10,0,0,0.001,190.949,0,0,0,2.484
1/1/2024 23:20,0,0,-0.002,190.947,0,0,0,2.484
1/1/2024 23:30,0,0,0,190.947,0,0,0,2.484
1/1/2024 23:40,0,0,0.003,190.95,0,0,-0.001,2.483
1/1/2024 23:50,0,0,-0.002,190.948,0,0,0.001,2.484
1/2/2024 0:00,0,0,0.003,190.951,0,0,-0.002,2.482
1/2/2024 0:10,0,0,-0.003,190.948,0,0,0.002,2.484
1/2/2024 0:20,0,0,-0.002,190.946,0,0,0,2.484
1/2/2024 0:30,0,0,0.003,190.949,0,0,-0.002,2.482
1/2/2024 0:40,0,0,-0.001,190.948,0,0,0.002,2.484
1/2/2024 0:50,0,0,0,190.948,0,0,0.002,2.486
1/2/2024 1:00,0,0,0,190.948,0,0,-0.001,2.485
1/2/2024 1:10,0,0,0.002,190.95,0,0,0.003,2.488
1/2/2024 1:20,0,0,-0.002,190.948,0,0,-0.002,2.486
1/2/2024 1:30,0,0,0.001,190.949,0,0,0,2.486
1/2/2024 1:40,0,0,0.002,190.951,0,0,-0.001,2.485
1/2/2024 1:50,0,0,-0.002,190.949,0,0,0,2.485
1/2/2024 2:00,0,0,0,190.949,0,0,-0.001,2.484
1/2/2024 2:10,0,0,0.001,190.95,0,0,0,2.484
1/2/2024 2:20,0,0,0.002,190.952,0,0,0,2.484
1/2/2024 2:30,0,0,-0.001,190.951,0,0,0,2.484
1/2/2024 2:40,0,0,-0.003,190.948,0,0,0,2.484
1/2/2024 2:50,0,0,0.002,190.95,0,0,0.001,2.485
1/2/2024 3:00,0,0,0.001,190.951,0,0,-0.001,2.484
1/2/2024 3:10,0,0,-0.004,190.947,0,0,0,2.484
1/2/2024 3:20,0,0,0.006,190.953,0,0,0,2.484
1/2/2024 3:30,0,0,-0.003,190.95,0,0,0,2.484
1/2/2024 3:40,0,0,0.002,190.952,0,0,0,2.484
1/2/2024 3:50,0,0,-0.003,190.949,0,0,0,2.484
1/2/2024 4:00,0,0,0,190.949,0,0,0,2.484
1/2/2024 4:10,0,0,0,190.949,0,0,0,2.484
1/2/2024 4:20,0,0,0.001,190.95,0,0,0,2.484
1/2/2024 4:30,0,0,-0.001,190.949,0,0,0,2.484
1/2/2024 4:40,0,0,0,190.949,0,0,0.001,2.485
1/2/2024 4:50,0,0,0.002,190.951,0,0,-0.001,2.484
1/2/2024 5:00,0,0,-0.002,190.949,0,0,0,2.484
1/2/2024 5:10,0,0,-0.001,190.948,0,0,0,2.484
1/2/2024 5:20,0,0,0.001,190.949,0,0,0,2.484
1/2/2024 5:30,0,0,0.002,190.951,0,0,-0.002,2.482
1/2/2024 5:40,0,0,-0.003,190.948,0,0,-0.001,2.481
1/2/2024 5:50,0,0,0,190.948,0,0,0,2.481
1/2/2024 6:00,0,0,0.003,190.951,0,0,0,2.481
1/2/2024 6:10,0,0,0.001,190.952,0,0,0,2.481
1/2/2024 6:20,0,0,-0.002,190.95,0,0,0,2.481
1/2/2024 6:30,0,0,0,190.95,0,0,0,2.481
1/2/2024 6:40,0,0,0.001,190.951,0,0,0,2.481
1/2/2024 6:50,0,0,0,190.951,0,0,0,2.481
1/2/2024 7:00,0,0,0.001,190.952,0,0,0,2.481
1/2/2024 7:10,0,0,-0.004,190.948,0,0,0,2.481
1/2/2024 7:20,0,0,0.005,190.953,0,0,0,2.481
1/2/2024 7:30,0,0,-0.001,190.952,0,0,-0.003,2.478
1/2/2024 7:40,0,0,-0.001,190.951,0,0,0.002,2.48
1/2/2024 7:50,0,0,0.002,190.953,0,0,0,2.48
1/2/2024 8:00,0,0,0,190.953,0,0,0,2.48
1/2/2024 8:10,0,0,0,190.953,0,0,0,2.48
1/2/2024 8:20,0,0,-0.002,190.951,0,0,-0.002,2.478
1/2/2024 8:30,0,0,0.001,190.952,0,0,-0.001,2.477
1/2/2024 8:40,0,0,-0.001,190.951,0,0,0,2.477
1/2/2024 8:50,0,0,0.002,190.953,0,0,0,2.477
1/2/2024 9:00,0,0,-0.002,190.951,0,0,0,2.477
1/2/2024 9:10,0,0,0.003,190.954,0,0,-0.001,2.476
1/2/2024 9:20,0,0,0,190.954,0,0,-0.002,2.474
1/2/2024 9:30,0,0,-0.001,190.953,0,0,0.003,2.477
1/2/2024 9:40,0,0,-0.001,190.952,0,0,-0.001,2.476
1/2/2024 9:50,0,0,-0.001,190.951,0,0,-0.001,2.475
1/2/2024 10:00,0,0,0.002,190.953,0,0,0.001,2.476
1/2/2024 10:10,0,0,0,190.953,0,0,0,2.476
1/2/2024 10:20,0,0,-0.002,190.951,0,0,-0.002,2.474
1/2/2024 10:30,0,0,0.002,190.953,0,0,0.002,2.476
1/2/2024 10:40,0,0,0,190.953,0,0,0,2.476
1/2/2024 10:50,0,0,0.001,190.954,0,0,-0.002,2.474
1/2/2024 11:00,0,0,-0.001,190.953,0,0,0.003,2.477
1/2/2024 11:10,0,0,0,190.953,0,0,0,2.477
1/2/2024 11:20,0,0,0.001,190.954,0,0,-0.001,2.476
1/2/2024 11:30,0,0,-0.001,190.953,0,0,0,2.476
1/2/2024 11:40,0,0,-0.001,190.952,0,0,0,2.476
1/2/2024 11:50,0,0,0.001,190.953,0,0,0,2.476
1/2/2024 12:00,0,0,-0.001,190.952,0,0,0,2.476
1/2/2024 12:10,0,0,-0.001,190.951,0,0,-0.002,2.474
1/2/2024 12:20,0,0,0.002,190.953,0,0,0.002,2.476
1/2/2024 12:30,0,0,0,190.953,0,0,-0.002,2.474
1/2/2024 12:40,0,0,0,190.953,0,0,0,2.474
1/2/2024 12:50,0,0,-0.001,190.952,0,0,0,2.474
1/2/2024 13:00,0,0,0.001,190.953,0,0,0,2.474
1/2/2024 13:10,0,0,0,190.953,0,0,0,2.474
1/2/2024 13:20,0,0,-0.002,190.951,0,0,0,2.474
1/2/2024 13:30,0,0,0,190.951,0,0,0,2.474
1/2/2024 13:40,0,0,0,190.951,0,0,0,2.474
1/2/2024 13:50,0,0,0.002,190.953,0,0,0.003,2.477
1/2/2024 14:00,0,0,-0.002,190.951,0,0,-0.002,2.475
1/2/2024 14:10,0,0,0,190.951,0,0,0.002,2.477
1/2/2024 14:20,0,0,-0.001,190.95,0,0,-0.003,2.474
1/2/2024 14:30,0,0,-0.001,190.949,0,0,0.001,2.475
1/2/2024 14:40,0,0,-0.001,190.948,0,0,-0.001,2.474
1/2/2024 14:50,0,0,0.001,190.949,0,0,0.002,2.476
1/2/2024 15:00,0,0,0.001,190.95,0,0,-0.002,2.474
1/2/2024 15:10,0,0,0.001,190.951,0,0,0,2.474
1/2/2024 15:20,0,0,-0.001,190.95,0,0,-0.001,2.473
1/2/2024 15:30,0,0,0,190.95,0,0,0,2.473
1/2/2024 15:40,0,0,0.001,190.951,0,0,-0.001,2.472
1/2/2024 15:50,0,0,0,190.951,0,0,0,2.472
1/2/2024 16:00,0,0,-0.002,190.949,0,0,0.001,2.473
1/2/2024 16:10,0,0,0.001,190.95,0,0,0.001,2.474
1/2/2024 16:20,0,0,0.001,190.951,0,0,0,2.474
1/2/2024 16:30,0,0,-0.002,190.949,0,0,0.002,2.476
1/2/2024 16:40,0,0,0.001,190.95,0,0,-0.002,2.474
1/2/2024 16:50,0,0,-0.002,190.948,0,0,0,2.474
1/2/2024 17:00,0,0,0.001,190.949,0,0,-0.001,2.473
1/2/2024 17:10,0,0,0.001,190.95,0,0,-0.001,2.472
1/2/2024 17:20,0,0,-0.002,190.948,0,0,-0.001,2.471
1/2/2024 17:30,0,0,0.001,190.949,0,0,0.001,2.472
1/2/2024 17:40,0,0,0.001,190.95,0,0,0.002,2.474
1/2/2024 17:50,0,0,-0.001,190.949,0,0,-0.001,2.473
1/2/2024 18:00,0,0,0,190.949,0,0,-0.001,2.472
1/2/2024 18:10,0,0,-0.001,190.948,0,0,0,2.472
1/2/2024 18:20,0,0,0.001,190.949,0,0,0,2.472
1/2/2024 18:30,0,0,-0.002,190.947,0,0,0.001,2.473
1/2/2024 18:40,0,0,0.002,190.949,0,0,0,2.473
1/2/2024 18:50,0,0,-0.003,190.946,0,0,0,2.473
1/2/2024 19:00,0,0,0.001,190.947,0,0,0,2.473
1/2/2024 19:10,0,0,0,190.947,0,0,0,2.473
1/2/2024 19:20,0,0,-0.001,190.946,0,0,0,2.473
1/2/2024 19:30,0,0,0.001,190.947,0,0,0.001,2.474
1/2/2024 19:40,0,0,-0.002,190.945,0,0,-0.001,2.473
1/2/2024 19:50,0,0,0,190.945,0,0,0.001,2.474
1/2/2024 20:00,0,0,0,190.945,0,0,-0.001,2.473
1/2/2024 20:10,0,0,0.002,190.947,0,0,0.001,2.474
1/2/2024 20:20,0,0,-0.001,190.946,0,0,-0.001,2.473
1/2/2024 20:30,0,0,-0.001,190.945,0,0,0,2.473
1/2/2024 20:40,0,0,0,190.945,0,0,0.001,2.474
1/2/2024 20:50,0,0,0,190.945,0,0,0.003,2.477
1/2/2024 21:00,0,0,-0.001,190.944,0,0,0,2.477
1/2/2024 21:10,0,0,0,190.944,0,0,-0.001,2.476
1/2/2024 21:20,0,0,0.001,190.945,0,0,-0.002,2.474
1/2/2024 21:30,0,0,-0.001,190.944,0,0,0,2.474
1/2/2024 21:40,0,0,-0.001,190.943,0,0,0.001,2.475
1/2/2024 21:50,0,0,0.002,190.945,0,0,-0.001,2.474
1/2/2024 22:00,0,0,-0.001,190.944,0,0,0.001,2.475
1/2/2024 22:10,0,0,0.001,190.945,0,0,0.001,2.476
1/2/2024 22:20,0,0,0,190.945,0,0,0,2.476
1/2/2024 22:30,0,0,-0.001,190.944,0,0,-0.002,2.474
1/2/2024 22:40,0,0,0.001,190.945,0,0,0,2.474
1/2/2024 22:50,0,0,-0.002,190.943,0,0,0,2.474
1/2/2024 23:00,0,0,0.001,190.944,0,0,-0.001,2.473
1/2/2024 23:10,0,0,0,190.944,0,0,0,2.473
1/2/2024 23:20,0,0,0,190.944,0,0,0.001,2.474
1/2/2024 23:30,0,0,0.001,190.945,0,0,0,2.474
1/2/2024 23:40,0,0,-0.002,190.943,0,0,-0.001,2.473
1/2/2024 23:50,0,0,0.002,190.945,0,0,0.001,2.474
1/3/2024 0:00,0,0,0,190.945,0,0,0,2.474
1/3/2024 0:10,0,0,-0.006,190.939,0,0,0,2.474
1/3/2024 0:20,0,0,0.006,190.945,0,0,0.003,2.477
1/3/2024 0:30,0,0,0,190.945,0,0,-0.001,2.476
1/3/2024 0:40,0,0,-0.001,190.944,0,0,-0.002,2.474
1/3/2024 0:50,0,0,-0.001,190.943,0,0,-0.002,2.472
1/3/2024 1:00,0,0,0.002,190.945,0,0,0.001,2.473
1/3/2024 1:10,0,0,-0.002,190.943,0,0,-0.002,2.471
1/3/2024 1:20,0,0,0.001,190.944,0,0,0,2.471
1/3/2024 1:30,0,0,0.001,190.945,0,0,0,2.471
1/3/2024 1:40,0,0,-0.001,190.944,0,0,0.001,2.472
1/3/2024 1:50,0,0,0,190.944,0,0,-0.001,2.471
1/3/2024 2:00,0,0,0.002,190.946,0,0,0,2.471
1/3/2024 2:10,0,0,-0.001,190.945,0,0,0.001,2.472
1/3/2024 2:20,0,0,0,190.945,0,0,0,2.472
1/3/2024 2:30,0,0,0,190.945,0,0,-0.001,2.471
1/3/2024 2:40,0,0,-0.001,190.944,0,0,0,2.471
1/3/2024 2:50,0,0,0,190.944,0,0,0,2.471
1/3/2024 3:00,0,0,0.003,190.947,0,0,0.001,2.472
1/3/2024 3:10,0,0,0,190.947,0,0,-0.001,2.471
1/3/2024 3:20,0,0,-0.002,190.945,0,0,-0.001,2.47
1/3/2024 3:30,0,0,0,190.945,0,0,-0.001,2.469
1/3/2024 3:40,0,0,0,190.945,0,0,-0.001,2.468
1/3/2024 3:50,0,0,0,190.945,0,0,0,2.468
1/3/2024 4:00,0,0,0.002,190.947,0,0,-0.001,2.467
1/3/2024 4:10,0,0,0,190.947,0,0,0.001,2.468
1/3/2024 4:20,0,0,-0.001,190.946,0,0,-0.001,2.467
1/3/2024 4:30,0,0,0.001,190.947,0,0,0,2.467
1/3/2024 4:40,0,0,0.001,190.948,0,0,0,2.467
1/3/2024 4:50,0,0,-0.002,190.946,0,0,0,2.467
1/3/2024 5:00,0,0,0,190.946,0,0,0,2.467
1/3/2024 5:10,0,0,-0.001,190.945,0,0,0,2.467
1/3/2024 5:20,0,0,0.001,190.946,0,0,0,2.467
1/3/2024 5:30,0,0,0.002,190.948,0,0,0,2.467
1/3/2024 5:40,0,0,0,190.948,0,0,0.001,2.468
1/3/2024 5:50,0,0,-0.003,190.945,0,0,0.008,2.476
1/3/2024 6:00,0,0,0.002,190.947,0,0,-0.007,2.469
1/3/2024 6:10,0,0,0.004,190.951,0,0,-0.003,2.466
1/3/2024 6:20,0,0,-0.004,190.947,0,0,0.001,2.467
1/3/2024 6:30,0,0,-0.003,190.944,0,0,0,2.467
1/3/2024 6:40,0,0,0.001,190.945,0,0,-0.002,2.465
1/3/2024 6:50,0,0,0.001,190.946,0,0,0.003,2.468
1/3/2024 7:00,0,0,0,190.946,0,0,0,2.468
1/3/2024 7:10,0,0,0.002,190.948,0,0,-0.001,2.467
1/3/2024 7:20,0,0,-0.003,190.945,0,0,-0.003,2.464
1/3/2024 7:30,0,0,0.003,190.948,0,0,0,2.464
1/3/2024 7:40,0,0,-0.001,190.947,0,0,0.001,2.465
1/3/2024 7:50,0,0,0.001,190.948,0,0,-0.001,2.464
1/3/2024 8:00,0,0,0,190.948,0,0,0.001,2.465
1/3/2024 8:10,0,0,0.001,190.949,0,0,0,2.465
1/3/2024 8:20,0,0,-0.001,190.948,0,0,-0.001,2.464
1/3/2024 8:30,0,0,0,190.948,0,0,0.003,2.467
1/3/2024 8:40,0,0,0.001,190.949,0,0,-0.002,2.465
1/3/2024 8:50,0,0,0.002,190.951,0,0,-0.002,2.463
1/3/2024 9:00,0,0,0,190.951,0,0,0.001,2.464
1/3/2024 9:10,0,0,-0.003,190.948,0,0,0,2.464
